Country,Site,Time_Period,Absolute_Time,Unique,Culture,Reference,Species,Species_Sum,Percentage,Abundance,Absolute,Stetigkeit_(%_der_Fundplätze),Presence_Absence,Semi_Quantitative_old,Semi_Quantitative,Notes,...18
DK,Denmark,EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 2",Linum usitatissimum,Linum usitatissimum,NA,1,NA,NA,x,x,x,NA,NA
DK,Denmark,EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 2",Panicum miliaceum,Panicum miliaceum,NA,0,NA,NA,0,0,0,NA,NA
DK,Denmark,EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 2",Secale cereale,Secale cereale,NA,0,NA,NA,0,0,0,NA,NA
DK,Denmark,EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 2",Triticum dicoccum,Triticum dicoccum,NA,31.5,NA,NA,x,xxx,xx,NA,NA
DK,Denmark,EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 2",Triticum spelta,Triticum spelta,NA,15.5,NA,NA,x,xx,x,NA,NA
DK,Denmark,EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 2",Triticum aestivum/compactum,Triticum aestivum/compactum,NA,8.5,NA,NA,x,x,x,NA,NA
DK,Denmark,EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 2",Triticum monococcum,Triticum monococcum,NA,3.5,NA,NA,x,x,x,NA,NA
DK,"Djursland, Hem. Pl. A210 (3-aisled)",EBA,1700-1000,1,Unknown,"Robinson 2003, Table 7",Camelina sativa,Camelina sativa,NA,0,0,NA,0,0,0,NA,NA
DK,"Djursland, Hem. Pl. A210 (3-aisled)",EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 7",Hordeum vulgare,Hordeum vulgare,NA,37,21,NA,x,x,xx,NA,NA
DK,"Djursland, Hem. Pl. A210 (3-aisled)",EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 7",Hordeum nudum,Hordeum nudum,NA,28,16,NA,x,x,xx,NA,NA
