Country,Site,Time_Period,Absolute_Time,Unique,Culture,Reference,Species,Species_Sum,Percentage,Presence_Absence,Semi_Quantitative_old,Semi_Quantitative
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,sea bass (Dicentrarchus labrax),sea bass (Dicentrarchus labrax),,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,cods (Gadidae),cods (Gadidae),,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,Thin-lipped mullet (Liza ramada),Thin-lipped mullet (Liza ramada),,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,flounder (Platichthys flesus),flounder (Platichthys flesus),,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,10-spined stickleback (Pungitius pungitius),10-spined stickleback (Pungitius pungitius),,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,thornback ray (Raja clavata),thornback ray (Raja clavata),,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,rays (Rajidae),rays (Rajidae),,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,salmons (Salmonidae indet.),salmons (Salmonidae indet.),,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,common rudd (Scardinius erythropthalmus),common rudd (Scardinius erythropthalmus),,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,catfish (Siluris glanis),catfish (Siluris glanis),,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,sturgeon (Acipenser sturio),sturgeon (Acipenser sturio),,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,allis shad (Alosa alosa),allis shad (Alosa alosa),,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,twaite shad (Alosa fallax),twaite shad (Alosa fallax),,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,sharks/ray (Chondrichthyes),sharks/ray (Chondrichthyes),,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,herring (Clupea harengus),herring (Clupea harengus),,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,herring/sprat (Clupea harengus/Sprattus sprattus),herring/sprat (Clupea harengus/Sprattus sprattus),,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,whitefishes (Coregonus spec.),whitefishes (Coregonus spec.),,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,stingray (Dasyatis pastinaca),stingray (Dasyatis pastinaca),,0,0,0
