Site,Unique,Time_Period,Absolute_Time,Culture,Settlement_Type,Reference,Species,Species_Sum,Percentage,absolute_number,%_of_finds,Frequencies_of_taxa_%,RI_(No_of_sites),Presence_Absence,Semi_Quantitative_old,Semi_Quantitative,Notes
"Budapest, Corvin tér",NA,EBA,2600-1900,Unknown,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,75.2,NA,NA,xxx?,xxxx?,NA
"Budapest, Corvin tér",NA,EBA,2600-1900,Unknown,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,24.8,NA,NA,xx?,x?,NA
"Budapest, Csepel-Hollandi u.",NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,13.2,NA,NA,xx?,x?,NA
"Budapest, Csepel-Hollandi u.",NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,"Filatova 2022, Fig. 3",Panicoideae,Wild plants/weeds,NA,NA,NA,6.8,NA,NA,x?,x?,NA
"Budapest, Csepel-Hollandi u.",NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,80,NA,NA,xxxx?,xxxx?,NA
"Budapest, Csepel-Szennyvíztelep",NA,MBA,1900-1500,Nagyrév/MBA,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,37.2,NA,NA,xx?,xx?,NA
"Budapest, Csepel-Szennyvíztelep",NA,MBA,1900-1500,Nagyrév/MBA,Unknown,"Filatova 2022, Fig. 3",Pulses,Pulses,NA,NA,NA,12.8,NA,NA,x?,x?,NA
"Budapest, Csepel-Szennyvíztelep",NA,MBA,1900-1500,Nagyrév/MBA,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,50,NA,NA,xxx?,xxx?,NA
Cegléd 4/1.,NA,MBA,1900-1500,Vatya,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,100,NA,NA,xxxx?,xxxx?,NA
Dömsöd-Apaj,NA,MBA,1900-1500,Vatya,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,100,NA,NA,xxxx?,xxxx?,NA
Dunakeszi-Székesdülö,NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,37.3,NA,NA,xx?,xx?,NA
Dunakeszi-Székesdülö,NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,62.8,NA,NA,xx?,xxx?,NA
Dunakeszi-Székesdülö (Auchan),NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,5.9,NA,NA,x?,x?,NA
Dunakeszi-Székesdülö (Auchan),NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 3",Millet,Panicum miliaceum,NA,NA,NA,1.2,NA,NA,x?,x?,NA
Dunakeszi-Székesdülö (Auchan),NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 3",Gathered Plants,Gathered Plants,NA,NA,NA,7.4,NA,NA,x?,x?,NA
Dunakeszi-Székesdülö (Auchan),NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 3",Panicoideae,Wild plants/weeds,NA,NA,NA,3.2,NA,NA,x?,x?,NA
Dunakeszi-Székesdülö (Auchan),NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,82.3,NA,NA,xxxx?,xxxx?,NA
Dunaújváros-Kosziderpadlás,NA,MBA,1900-1500,Nagyrév/Vatya,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,43.1,NA,NA,xx?,xx?,NA
Dunaújváros-Kosziderpadlás,NA,MBA,1900-1500,Nagyrév/Vatya,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,56.9,NA,NA,xx?,xxx?,NA
Endröd 161,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,42.9,NA,NA,xx?,xx?,NA
Endröd 161,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,"Filatova 2022, Fig. 3",Millet,Panicum miliaceum,NA,NA,NA,14.2,NA,NA,x?,x?,NA
Endröd 161,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,"Filatova 2022, Fig. 3",Pulses,Pulses,NA,NA,NA,14.2,NA,NA,x?,x?,NA
Endröd 161,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,28.8,NA,NA,x?,xx?,NA
Felsödobsza-Várdomb,1,MBA,1900-1500,Füzesabony,Unknown,"Filatova 2022, Fig. 2",Cereals,Cereals,95.2,NA,NA,NA,NA,NA,xxxx?,xxxx?,NA
Felsödobsza-Várdomb,NA,MBA,1900-1500,Füzesabony,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,80,NA,NA,xxxx?,xxxx?,NA
Felsödobsza-Várdomb,NA,MBA,1900-1500,Füzesabony,Unknown,"Filatova 2022, Fig. 3",Pulses,Pulses,NA,NA,NA,20,NA,NA,x?,x?,NA
Gór-Kápolnadomb,NA,LBA,1400-700,Urnfield,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,12.9,NA,NA,x?,x?,NA
Gór-Kápolnadomb,NA,LBA,1400-700,Urnfield,Unknown,"Filatova 2022, Fig. 3",Millet,Panicum miliaceum,NA,NA,NA,2.8,NA,NA,x?,x?,NA
Gór-Kápolnadomb,NA,LBA,1400-700,Urnfield,Unknown,"Filatova 2022, Fig. 3",Pulses,Pulses,NA,NA,NA,4.9,NA,NA,x?,x?,NA
Gór-Kápolnadomb,NA,LBA,1400-700,Urnfield,Unknown,"Filatova 2022, Fig. 3",Oil/Fibre Crops,Oil/Fibre Crops,NA,NA,NA,2.5,NA,NA,x?,x?,NA
Gór-Kápolnadomb,NA,LBA,1400-700,Urnfield,Unknown,"Filatova 2022, Fig. 3",Gathered Plants,Gathered Plants,NA,NA,NA,2.8,NA,NA,x?,x?,NA
Gór-Kápolnadomb,NA,LBA,1400-700,Urnfield,Unknown,"Filatova 2022, Fig. 3",Panicoideae,Wild plants/weeds,NA,NA,NA,4.9,NA,NA,x?,x?,NA
Gór-Kápolnadomb,NA,LBA,1400-700,Urnfield,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,64.3,NA,NA,xxx?,xxx?,NA
Györ-Szabadrétdomb,NA,LBA,1400-700,Unknown,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,40,NA,NA,xx?,xx?,NA
Györ-Szabadrétdomb,NA,LBA,1400-700,Unknown,Unknown,"Filatova 2022, Fig. 3",Millet,Panicum miliaceum,NA,NA,NA,20,NA,NA,x?,x?,NA
Györ-Szabadrétdomb,NA,LBA,1400-700,Unknown,Unknown,"Filatova 2022, Fig. 3",Gathered Plants,Gathered Plants,NA,NA,NA,20,NA,NA,x?,x?,NA
Györ-Szabadrétdomb,NA,LBA,1400-700,Unknown,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,20,NA,NA,x?,x?,NA
Hungary,1,BA,2600-700,Unknown,Unknown,Harding 2000,Triticum monococcum,Triticum monococcum,NA,NA,NA,72,NA,NA,xxx?,xxx?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Harding 2000,Triticum dicoccon,Triticum dicoccum,NA,NA,NA,64,NA,NA,xxx?,xxx?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Harding 2000,Triticum aestivum,Triticum aestivum/durum,NA,NA,NA,40,NA,NA,xx?,xx?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Harding 2000,Triticum spelta,Triticum spelta,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Harding 2000,Hordeum vulgare,Hordeum vulgare,NA,NA,NA,84,NA,NA,xxxx?,xxxx?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Harding 2000,Hordeum nudum,Hordeum nudum,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Harding 2000,Secale cereale,Secale cereale,NA,NA,NA,4,NA,NA,x?,x?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Harding 2000,Avena sp.,Avena sp.,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Harding 2000,Panicum miliaceum,Panicum miliaceum,NA,NA,NA,55,NA,NA,xx?,xxx?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Harding 2000,Vicia faba,Vicia sp.,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Harding 2000,Pisum sativum,Pisum sp.,NA,NA,NA,20,NA,NA,x?,x?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Harding 2000,Lens culinaris,Lens culinaris,NA,NA,NA,32,NA,NA,xx?,xx?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Harding 2000,Linum usitatissimum,Linum usitatissimum,NA,NA,NA,4,NA,NA,x?,x?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Harding 2000,Camelina sativa,Camelina sativa,NA,NA,NA,4,NA,NA,x?,x?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Harding 2000,Papaver somniferum,Papaver somniferum,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Wasylikowa 1991,Triticum monococcum,Triticum monococcum,NA,NA,NA,72,NA,NA,xxx?,xxx?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Wasylikowa 1991,Triticum dicoccon,Triticum dicoccum,NA,NA,NA,64,NA,NA,xxx?,xxx?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Wasylikowa 1991,Triticum spelta,Triticum spelta,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Wasylikowa 1991,Triticum aestivum s.l.,Triticum aestivum/durum,NA,NA,NA,40,NA,NA,xx?,xx?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Wasylikowa 1991,Triticum cf. Durum,Triticum aestivum/durum,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Wasylikowa 1991,Hordeum vulgare vulgare,Hordeum vulgare (hulled),NA,NA,NA,84,NA,NA,xxxx?,xxxx?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Wasylikowa 1991,Hordeum vulgare nudum,Hordeum nudum,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Wasylikowa 1991,Secale cereale,Secale cereale,NA,NA,NA,4,NA,NA,x?,x?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Wasylikowa 1991,Avena sativa,Avena sp.,NA,NA,NA,0.01,NA,NA,x?,x?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Wasylikowa 1991,Panicum miliaceum,Panicum miliaceum,NA,NA,NA,4,NA,NA,x?,x?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Wasylikowa 1991,Setaria italica,Setaria italica,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Wasylikowa 1991,Lens culinaris,Lens culinaris,NA,NA,NA,32,NA,NA,xx?,xx?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Wasylikowa 1991,Pisum sativum,Pisum sp.,NA,NA,NA,20,NA,NA,x?,x?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Wasylikowa 1991,Vicia ervilia,Vicia sp.,NA,NA,NA,12,NA,NA,x?,x?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Wasylikowa 1991,Vicia faba var. Minor,Vicia sp.,NA,NA,NA,4,NA,NA,x?,x?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Wasylikowa 1991,Papaver somniferum,Papaver somniferum,NA,NA,NA,0,NA,NA,x?,0,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Wasylikowa 1991,Camelina sativa,Camelina sativa,NA,NA,NA,4,NA,NA,x?,x?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Wasylikowa 1991,Linum usitatissimum,Linum usitatissimum,NA,NA,NA,4,NA,NA,x?,x?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Wasylikowa 1991,Cicer arietinum (Chickpea),Pulses,NA,NA,NA,8,NA,NA,x?,x?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Wasylikowa 1991,Lathyrus sativus,Lathyrus sp.,NA,NA,NA,12,NA,NA,x?,x?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Wasylikowa 1991,Cornus mas,Gathered Plants,NA,NA,NA,NA,NA,x,?,?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Wasylikowa 1991,Malus sp.,Gathered Plants,NA,NA,NA,NA,NA,x,?,?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Wasylikowa 1991,Prunus spinosa,Gathered Plants,NA,NA,NA,NA,NA,x,?,?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Wasylikowa 1991,Pyrus sp.,Gathered Plants,NA,NA,NA,NA,NA,x,?,?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Wasylikowa 1991,Rubus sp.,Gathered Plants,NA,NA,NA,NA,NA,x,?,?,NA
Hungary,NA,BA,2600-700,Unknown,Unknown,Wasylikowa 1991,Cucumis sp.,Gathered Plants,NA,NA,NA,NA,NA,x,?,?,NA
Hungary,1,EBA,2600-1900,Bell Beaker Csepel,Unknown,Filatova 2022,Hordeum vulgare (undiff),Hordeum vulgare,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,Filatova 2022,Triticum aestivum/durum,Triticum aestivum/durum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,Filatova 2022,Vicia ervilia,Vicia sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,Filatova 2022,Camelina sativa,Camelina sativa,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,Filatova 2022,Linum usitatissimum,Linum usitatissimum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,Filatova 2022,Cornus mas,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,Filatova 2022,Corylus avellana,Corylus avellana,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,1,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,Filatova 2022,Hordeum vulgare (undiff),Hordeum vulgare,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,Filatova 2022,Hordeum nudum,Hordeum nudum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,Filatova 2022,Secale cereale,Secale cereale,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,Filatova 2022,Triticum aestivum ssp. Compactum,Triticum compactum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,Filatova 2022,Triticum aestivum ssp. Spelta,Triticum spelta,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,Filatova 2022,Triticum aestivum/durum,Triticum aestivum/durum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,Filatova 2022,Triticum monococcum,Triticum monococcum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,Filatova 2022,Lens culinaris,Lens culinaris,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,Filatova 2022,Vicia ervilia,Vicia sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,Filatova 2022,Vicia faba,Vicia sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,Filatova 2022,Camelina sativa,Camelina sativa,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,Filatova 2022,Linum usitatissimum,Linum usitatissimum,NA,0,NA,NA,NA,NA,0,0,NA
