Site,Unique,Time_Period,Absolute_Time,Culture,Settlement_Type,Reference,Species,Species_Sum,Percentage,absolute_number,%_of_finds,Frequencies_of_taxa_%,RI_(No_of_sites),Presence_Absence,Semi_Quantitative_old,Semi_Quantitative,Notes
Hungary,NA,EBA,2600-1900,Somogyvár-Vinkovci,Unknown,Filatova 2022,Camelina sativa,Camelina sativa,NA,6.5,NA,NA,NA,NA,x,x,NA
Hungary,NA,EBA,2600-1900,Somogyvár-Vinkovci,Unknown,Filatova 2022,Linum usitatissimum,Linum usitatissimum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Somogyvár-Vinkovci,Unknown,Filatova 2022,Cornus mas,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Somogyvár-Vinkovci,Unknown,Filatova 2022,Corylus avellana,Corylus avellana,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Somogyvár-Vinkovci,Unknown,Filatova 2022,Malus silvestris (crab apple),Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,1,EBA,2600-1900,Unknown,Unknown,Filatova 2022,Hordeum vulgare (undiff),Hordeum vulgare,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Unknown,Unknown,Filatova 2022,Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,44,NA,NA,NA,NA,x,x,NA
Hungary,NA,EBA,2600-1900,Unknown,Unknown,Filatova 2022,Hordeum nudum,Hordeum nudum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Unknown,Unknown,Filatova 2022,Secale cereale,Secale cereale,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Unknown,Unknown,Filatova 2022,Triticum aestivum ssp. Compactum,Triticum compactum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Unknown,Unknown,Filatova 2022,Triticum aestivum,Triticum aestivum/durum,NA,10,NA,NA,NA,NA,x,x,NA
Hungary,NA,EBA,2600-1900,Unknown,Unknown,Filatova 2022,Triticum aestivum ssp. Spelta,Triticum spelta,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Unknown,Unknown,Filatova 2022,Triticum aestivum/durum,Triticum aestivum/durum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Unknown,Unknown,Filatova 2022,Triticum monococcum,Triticum monococcum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Unknown,Unknown,Filatova 2022,Triticum turgidum ssp. Dicoccon,Triticum dicoccum,NA,10,NA,NA,NA,NA,x,x,NA
Hungary,NA,EBA,2600-1900,Unknown,Unknown,Filatova 2022,Panicum miliaceum,Panicum miliaceum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Unknown,Unknown,Filatova 2022,Lens culinaris,Lens culinaris,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Unknown,Unknown,Filatova 2022,Pisum sativum,Pisum sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Unknown,Unknown,Filatova 2022,Vicia ervilia,Vicia sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Unknown,Unknown,Filatova 2022,Vicia faba,Vicia sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Unknown,Unknown,Filatova 2022,Camelina sativa,Camelina sativa,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Unknown,Unknown,Filatova 2022,Linum usitatissimum,Linum usitatissimum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Unknown,Unknown,Filatova 2022,Cornus mas,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Unknown,Unknown,Filatova 2022,Corylus avellana,Corylus avellana,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Unknown,Unknown,Filatova 2022,Malus silvestris (crab apple),Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,1,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Hordeum distichon (two-rowed barley),Hordeum vulgare (other),NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Hordeum hexastichon (six-rowed barley),Hordeum vulgare (other),NA,NA,NA,Much (100-1000),NA,NA,xxx,xxx,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Hordeum polystichum (many-rowed barley),Hordeum vulgare (other),NA,NA,NA,Large (1000-10.000),NA,NA,xxxx,xxxx,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Hordeum tetrastichon (four-rowed barley),Hordeum vulgare (other),NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Hordeum nudum (naked barley),Hordeum nudum,NA,NA,NA,Little (10-100),NA,NA,xx,x,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Hordeum vulgare L. Barley,Hordeum vulgare,NA,NA,NA,Much (100-1000),NA,NA,xxx,xxx,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Panicum miliaceum,Panicum miliaceum,NA,NA,NA,Little (10-100),NA,NA,xx,x,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Secale cereale,Secale cereale,NA,NA,NA,Sporadic (1-10),NA,NA,x,x,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Triticum compactum (club wheat),Triticum compactum,NA,NA,NA,Sporadic (1-10),NA,NA,x,x,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Trticum aestivum (common wheat),Triticum aestivum/durum,NA,NA,NA,Little (10-100),NA,NA,xx,x,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Triticum aestivum/durum,Triticum aestivum/durum,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Triticum spelta (spelt),Triticum spelta,NA,NA,NA,Sporadic (1-10),NA,NA,x,x,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Triticum monococcum (einkorn),Triticum monococcum,NA,NA,NA,Much (100-1000),NA,NA,xx,xx,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Triticum dicoccum (emmer),Triticum dicoccum,NA,NA,NA,Much (100-1000),NA,NA,xx,xx,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Triticum vulgare antiquorum wheat,Wild plants/weeds,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Triticum boeoticum (wild einkorn),Wild plants/weeds,NA,NA,NA,Sporadic (1-10),NA,NA,x,x,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Cicer arietinum (Chickpea),Pulses,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Lathyrus sativus,Lathyrus sp.,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Lens microsperma (small seed lentil),Pulses,NA,NA,NA,Sporadic (1-10),NA,NA,x,x,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Lens culinaris,Lens culinaris,NA,NA,NA,Sporadic (1-10),NA,NA,x,x,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Onobrychis viciifolia (Common sainfoin),Wild plants/weeds,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Pisum sativum,Pisum sp.,NA,NA,NA,Sporadic (1-10),NA,NA,x,x,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Pisum arvense (Field pea),Pisum sp.,NA,NA,NA,Little (10-100),NA,NA,xx,x,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Vicia ervilia (Bitter vetch),Vicia sp.,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Vicia faba (Horses bean),Vicia sp.,NA,NA,NA,Sporadic (1-10),NA,NA,x,x,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Vicia sativa var. Sativa (Common vetch),Vicia sp.,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Apiu graveolens (wild celery),Wild plants/weeds,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Cucumis sativus (cucumber),Gathered Plants,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Camelina sativa,Camelina sativa,NA,NA,NA,Sporadic (1-10),NA,NA,x,x,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Linum usitatissimum,Linum usitatissimum,NA,NA,NA,0,NA,NA,0,0,NA
