Site,Unique,Time_Period,Absolute_Time,Settlement_Type,Culture,Reference,Species,percentage_(Bone_Count),Number_of_Identifiable_Specimens_(NISP)_%,Combined,Semi_Quantitative,...13
Mosonmagyaróvár-Német-dülö,NA,LBA,1400-700,Simple Settlement,Tumulus,"Bartosiewicz 2022, Fig. 2",horse,NA,1.7,1.7,x,NA
Mosonmagyaróvár-Német-dülö,NA,LBA,1400-700,Simple Settlement,Tumulus,"Bartosiewicz 2022, Fig. 2",large game,NA,1.7,1.7,x,NA
Nagykálló,1,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,47.1,47.1,xxxx,NA
Nagykálló,NA,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,28.7,28.7,xxx,NA
Nagykálló,NA,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,9.2,9.2,x,NA
Nagykálló,NA,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,10.4,10.4,xx,NA
Nagykálló,NA,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,4.5,4.5,x,NA
Nyergesújfalu-Téglagyár,1,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,53.7,53.7,xxxx,NA
Nyergesújfalu-Téglagyár,NA,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,24.2,24.2,xx,NA
Nyergesújfalu-Téglagyár,NA,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,14.8,14.8,x,NA
Nyergesújfalu-Téglagyár,NA,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,1.9,1.9,x,NA
Nyergesújfalu-Téglagyár,NA,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,5.4,5.4,x,NA
Pălatca,1,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,cattle,44,NA,44,xxxx,NA
Pălatca,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,caprine,30,NA,30,xxx,NA
Pălatca,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,pig,14,NA,14,xx,NA
Pălatca,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,horse,7,NA,7,x,NA
Pălatca,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,dog,2,NA,2,x,NA
Pălatca,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,wild,3,NA,3,x,NA
Zoltan,1,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,cattle,28,NA,28,xxx,NA
Zoltan,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,caprine,33,NA,33,xxxx,NA
Zoltan,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,pig,19,NA,19,xx,NA
Zoltan,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,horse,8,NA,8,x,NA
Zoltan,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,dog,1,NA,1,x,NA
Zoltan,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,wild,12,NA,12,xx,NA
