Country,Site,Time_Period,Absolute_Time,Unique,Culture,Reference,Species,Species_Sum,Percentage,Presence_Absence,Semi_Quantitative,...13
NL,Medemblik,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,Thin-lipped mullet (Liza ramada),Thin-lipped mullet (Liza ramada),NA,0,0,0
NL,Medemblik,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,flounder (Platichthys flesus),flounder (Platichthys flesus),NA,0,0,0
NL,Medemblik,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,10-spined stickleback (Pungitius pungitius),10-spined stickleback (Pungitius pungitius),NA,0,0,0
NL,Medemblik,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,thornback ray (Raja clavata),thornback ray (Raja clavata),NA,0,0,0
NL,Medemblik,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,rays (Rajidae),rays (Rajidae),NA,0,0,0
NL,Medemblik,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,salmons (Salmonidae indet.),salmons (Salmonidae indet.),NA,x,?,?
NL,Medemblik,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,common rudd (Scardinius erythropthalmus),common rudd (Scardinius erythropthalmus),NA,x,?,?
NL,Medemblik,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,catfish (Siluris glanis),catfish (Siluris glanis),NA,0,0,0
NL,Medemblik,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,sturgeon (Acipenser sturio),sturgeon (Acipenser sturio),NA,0,0,0
NL,Medemblik,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,allis shad (Alosa alosa),allis shad (Alosa alosa),NA,0,0,0
NL,Medemblik,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,twaite shad (Alosa fallax),twaite shad (Alosa fallax),NA,0,0,0
NL,Medemblik,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,sharks/ray (Chondrichthyes),sharks/ray (Chondrichthyes),NA,0,0,0
NL,Medemblik,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,herring (Clupea harengus),herring (Clupea harengus),NA,0,0,0
NL,Medemblik,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,herring/sprat (Clupea harengus/Sprattus sprattus),herring/sprat (Clupea harengus/Sprattus sprattus),NA,0,0,0
NL,Medemblik,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,whitefishes (Coregonus spec.),whitefishes (Coregonus spec.),NA,0,0,0
NL,Medemblik,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,stingray (Dasyatis pastinaca),stingray (Dasyatis pastinaca),NA,0,0,0
NL,Medemblik,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,grey gurnard (Eutrigla gurnardus),grey gurnard (Eutrigla gurnardus),NA,0,0,0
NL,Medemblik,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,Atlantic cod (Gadus morhua),Atlantic cod (Gadus morhua),NA,0,0,0
