Site,Unique,Time_Period,Absolute_Time,Culture,Settlement_Type,Reference,Species,Species_Sum,Percentage,absolute_number,%_of_finds,Frequencies_of_taxa_%,RI_(No_of_sites),Presence_Absence,Semi_Quantitative_old,Semi_Quantitative,Notes
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Brassica nigra (black mustard),Brassica nigra,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Carthamus tinctorius (safflower),Gathered Plants,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Origanum vulgare (wild majoran),Wild plants/weeds,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Satureja hortensis (summer-savory),Wild plants/weeds,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Rumex acetosa (common sorrel),Gathered Plants,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Cornus mas (cornelian cherry/dogwood),Gathered Plants,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Corylus avellana,Corylus avellana,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Crataegus monogyna (single-seed hawthorn),Gathered Plants,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Prunus spinosa (sloe/blackthorn),Gathered Plants,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Quercus spec.,Quercus sp.,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Rubus caesius/fruticosus (blackberry/Bramble),Gathered Plants,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Sambucus nigra/racemosa (common elder/red elder),Gathered Plants,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Vitis vinifera L. Subsp. Silvestris (woodland European grape),Gathered Plants,NA,NA,NA,0,NA,NA,0,0,NA
Kakucs-Turján,NA,EBA,2600-1900,Nagyrév,Tell-like Settlement,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,20.9,NA,NA,x?,x?,NA
Kakucs-Turján,NA,EBA,2600-1900,Nagyrév,Tell-like Settlement,"Filatova 2022, Fig. 3",Pulses,Pulses,NA,NA,NA,10.8,NA,NA,x?,x?,NA
Kakucs-Turján,NA,EBA,2600-1900,Nagyrév,Tell-like Settlement,"Filatova 2022, Fig. 3",Oil/Fibre Crops,Oil/Fibre Crops,NA,NA,NA,5.1,NA,NA,x?,x?,NA
Kakucs-Turján,NA,EBA,2600-1900,Nagyrév,Tell-like Settlement,"Filatova 2022, Fig. 3",Gathered Plants,Gathered Plants,NA,NA,NA,10.8,NA,NA,x?,x?,NA
Kakucs-Turján,NA,EBA,2600-1900,Nagyrév,Tell-like Settlement,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,52.5,NA,NA,xx?,xxx?,NA
"Kiskundorozsma (M5 45, 26/59)",NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,100,NA,NA,xxxx?,xxxx?,NA
Mosonszentmiklós-Pál-major,NA,EBA,2600-1900,Makó-Kosihy-Caka,Simple Settlement,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,50,NA,NA,xxx?,xxx?,NA
Mosonszentmiklós-Pál-major,NA,EBA,2600-1900,Makó-Kosihy-Caka,Simple Settlement,"Filatova 2022, Fig. 3",Pulses,Pulses,NA,NA,NA,16.6,NA,NA,x?,x?,NA
Mosonszentmiklós-Pál-major,NA,EBA,2600-1900,Makó-Kosihy-Caka,Simple Settlement,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,33.4,NA,NA,xx?,xx?,NA
Pannonian Basin,1,EBA,2600-1900,Unknown,Unknown,Stika/Heiss 2014,Lathyrus sativus/cicera,Lathyrus sp.,NA,NA,NA,NA,FALSE,NA,0,0,NA
Pannonian Basin,NA,EBA,2600-1900,Unknown,Unknown,Stika/Heiss 2014,Vicia ervilia,Vicia sp.,NA,NA,NA,NA,FALSE,NA,0,0,NA
Pannonian Basin,NA,EBA,2600-1900,Unknown,Unknown,Stika/Heiss 2014,Vicia sativa,Vicia sp.,NA,NA,NA,NA,FALSE,NA,0,0,NA
Pannonian Basin,NA,EBA,2600-1900,Unknown,Unknown,Stika/Heiss 2014,Carthamus tinctorius (safflower),Gathered Plants,NA,NA,NA,NA,FALSE,NA,0,0,NA
Pannonian Basin,NA,EBA,2600-1900,Unknown,Unknown,Stika/Heiss 2014,Linum usitatissimum,Linum usitatissimum,NA,NA,NA,NA,FALSE,NA,0,0,NA
Pannonian Basin,NA,EBA,2600-1900,Unknown,Unknown,Stika/Heiss 2014,Papaver somniferum,Papaver somniferum,NA,NA,NA,NA,FALSE,NA,0,0,NA
Pannonian Basin,NA,EBA,2600-1900,Unknown,Unknown,Stika/Heiss 2014,Cucumis sativus (cucumber),Gathered Plants,NA,NA,NA,NA,FALSE,NA,0,0,NA
Pannonian Basin,NA,EBA,2600-1900,Unknown,Unknown,Stika/Heiss 2014,Vitis vinifera (grape vine),Gathered Plants,NA,NA,NA,NA,FALSE,NA,0,0,NA
Pécs-Nagyárpád,NA,EBA,2600-1900,Somogyvár-Vinkovci,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,20,NA,NA,x?,x?,NA
Pécs-Nagyárpád,NA,EBA,2600-1900,Somogyvár-Vinkovci,Unknown,"Filatova 2022, Fig. 3",Pulses,Pulses,NA,NA,NA,10,NA,NA,x?,x?,NA
Pécs-Nagyárpád,NA,EBA,2600-1900,Somogyvár-Vinkovci,Unknown,"Filatova 2022, Fig. 3",Oil/Fibre Crops,Oil/Fibre Crops,NA,NA,NA,4.9,NA,NA,x?,x?,NA
Pécs-Nagyárpád,NA,EBA,2600-1900,Somogyvár-Vinkovci,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,65.1,NA,NA,xxx?,xxx?,NA
