Site,Unique,Time_Period,Absolute_Time,Settlement_Type,Culture,Reference,Species,percentage_(Bone_Count),Number_of_Identifiable_Specimens_(NISP)_%,Combined,Semi_Quantitative,...13
Kapsújlak-Várhegy,NA,EBA,2600-1900,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,23,23,xxx,NA
Kapsújlak-Várhegy,NA,EBA,2600-1900,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,0.9,0.9,x,NA
Kapsújlak-Várhegy,NA,EBA,2600-1900,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,15.7,15.7,xx,NA
Mezökomárom-Alsóhegy,1,EBA,2600-1900,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,50.8,50.8,xxxx,NA
Mezökomárom-Alsóhegy,NA,EBA,2600-1900,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,19.7,19.7,xxx,NA
Mezökomárom-Alsóhegy,NA,EBA,2600-1900,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,13.7,13.7,xx,NA
Mezökomárom-Alsóhegy,NA,EBA,2600-1900,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,10.4,10.4,xx,NA
Mezökomárom-Alsóhegy,NA,EBA,2600-1900,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,5.4,5.4,x,NA
Mezökomárom-Alsóhegy Bökönyi,1,EBA,2600-1900,Tell Settlement,Bökönyi,"Bartosiewicz 2022, Fig. 2",cattle,NA,40.7,40.7,xxxx,NA
Mezökomárom-Alsóhegy Bökönyi,NA,EBA,2600-1900,Tell Settlement,Bökönyi,"Bartosiewicz 2022, Fig. 2",caprine,NA,21.7,21.7,xx,NA
Mezökomárom-Alsóhegy Bökönyi,NA,EBA,2600-1900,Tell Settlement,Bökönyi,"Bartosiewicz 2022, Fig. 2",pig,NA,7.3,7.3,x,NA
Mezökomárom-Alsóhegy Bökönyi,NA,EBA,2600-1900,Tell Settlement,Bökönyi,"Bartosiewicz 2022, Fig. 2",horse,NA,3.3,3.3,x,NA
Mezökomárom-Alsóhegy Bökönyi,NA,EBA,2600-1900,Tell Settlement,Bökönyi,"Bartosiewicz 2022, Fig. 2",large game,NA,27,27,xxx,NA
Mezölak,1,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,16,16,xx,NA
Mezölak,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,10.4,10.4,xx,NA
Mezölak,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,26.1,26.1,xxx,NA
Mezölak,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,47.5,47.5,xxxx,NA
Mosonszentmiklós-Pál-major,1,EBA,2600-1900,Simple Settlement,Makó-Kosihy-Caka,"Bartosiewicz 2022, Fig. 2",cattle,NA,51,51,xxxx,NA
Mosonszentmiklós-Pál-major,NA,EBA,2600-1900,Simple Settlement,Makó-Kosihy-Caka,"Bartosiewicz 2022, Fig. 2",caprine,NA,36.2,36.2,xxx,NA
Mosonszentmiklós-Pál-major,NA,EBA,2600-1900,Simple Settlement,Makó-Kosihy-Caka,"Bartosiewicz 2022, Fig. 2",pig,NA,7.3,7.3,x,NA
Mosonszentmiklós-Pál-major,NA,EBA,2600-1900,Simple Settlement,Makó-Kosihy-Caka,"Bartosiewicz 2022, Fig. 2",horse,NA,3.8,3.8,x,NA
Mosonszentmiklós-Pál-major,NA,EBA,2600-1900,Simple Settlement,Makó-Kosihy-Caka,"Bartosiewicz 2022, Fig. 2",large game,NA,1.7,1.7,x,NA
Nagyrév,1,EBA,2600-1900,Simple Settlement,Nagyrév,"Bartosiewicz 2022, Fig. 2",cattle,NA,20,20,xx,NA
Nagyrév,NA,EBA,2600-1900,Simple Settlement,Nagyrév,"Bartosiewicz 2022, Fig. 2",pig,NA,10,10,x,NA
Nagyrév,NA,EBA,2600-1900,Simple Settlement,Nagyrév,"Bartosiewicz 2022, Fig. 2",horse,NA,10,10,x,NA
Nagyrév,NA,EBA,2600-1900,Simple Settlement,Nagyrév,"Bartosiewicz 2022, Fig. 2",large game,NA,60,60,xxxx,NA
Ordacsehi-Bugaszeg Kisapostag,1,EBA,2600-1900,Simple Settlement,Kisapostag,"Bartosiewicz 2022, Fig. 2",cattle,NA,58.3,58.3,xxxx,NA
Ordacsehi-Bugaszeg Kisapostag,NA,EBA,2600-1900,Simple Settlement,Kisapostag,"Bartosiewicz 2022, Fig. 2",caprine,NA,29.2,29.2,xxx,NA
Ordacsehi-Bugaszeg Kisapostag,NA,EBA,2600-1900,Simple Settlement,Kisapostag,"Bartosiewicz 2022, Fig. 2",pig,NA,11.3,11.3,xx,NA
Ordacsehi-Bugaszeg Kisapostag,NA,EBA,2600-1900,Simple Settlement,Kisapostag,"Bartosiewicz 2022, Fig. 2",horse,NA,1.2,1.2,x,NA
Ordacsehi-Bugaszeg Somogyvár,1,EBA,2600-1900,Simple Settlement,Somogyvár,"Bartosiewicz 2022, Fig. 2",cattle,NA,63.1,63.1,xxxx,NA
Ordacsehi-Bugaszeg Somogyvár,NA,EBA,2600-1900,Simple Settlement,Somogyvár,"Bartosiewicz 2022, Fig. 2",caprine,NA,25.2,25.2,xx,NA
Ordacsehi-Bugaszeg Somogyvár,NA,EBA,2600-1900,Simple Settlement,Somogyvár,"Bartosiewicz 2022, Fig. 2",pig,NA,10.1,10.1,x,NA
Ordacsehi-Bugaszeg Somogyvár,NA,EBA,2600-1900,Simple Settlement,Somogyvár,"Bartosiewicz 2022, Fig. 2",large game,NA,1.6,1.6,x,NA
Paks-Gyapa,1,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,61.7,61.7,xxxx,NA
Paks-Gyapa,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,17.9,17.9,xx,NA
Paks-Gyapa,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,10.1,10.1,x,NA
Paks-Gyapa,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,0.7,0.7,x,NA
Paks-Gyapa,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,9.6,9.6,x,NA
Ravazd-Villibald-domb Somogyvár,1,EBA,2600-1900,Simple Settlement,Somogyvár,"Bartosiewicz 2022, Fig. 2",cattle,NA,34.8,34.8,xxxx,NA
Ravazd-Villibald-domb Somogyvár,NA,EBA,2600-1900,Simple Settlement,Somogyvár,"Bartosiewicz 2022, Fig. 2",caprine,NA,28.4,28.4,xxx,NA
Ravazd-Villibald-domb Somogyvár,NA,EBA,2600-1900,Simple Settlement,Somogyvár,"Bartosiewicz 2022, Fig. 2",pig,NA,16.9,16.9,xx,NA
Ravazd-Villibald-domb Somogyvár,NA,EBA,2600-1900,Simple Settlement,Somogyvár,"Bartosiewicz 2022, Fig. 2",horse,NA,0.9,0.9,x,NA
Ravazd-Villibald-domb Somogyvár,NA,EBA,2600-1900,Simple Settlement,Somogyvár,"Bartosiewicz 2022, Fig. 2",large game,NA,23.8,23.8,xx,NA
Slovakia,1,EBA,2600-1900,Unknown,Unknown,"Benecke 1994, Tab. 31",cattle,54.1,NA,54.1,xxxx,NA
Slovakia,NA,EBA,2600-1900,Unknown,Unknown,"Benecke 1994, Tab. 31",pig,23.3,NA,23.3,xx,NA
Slovakia,NA,EBA,2600-1900,Unknown,Unknown,"Benecke 1994, Tab. 31",caprine,18.4,NA,18.4,xx,"Davon 66.5 sheep, 33.5 goat"
Slovakia,NA,EBA,2600-1900,Unknown,Unknown,"Benecke 1994, Tab. 31",horse,4.2,NA,4.2,x,NA
Slovakia,NA,EBA,2600-1900,Unknown,Unknown,"Benecke 1994, Tab. 31",wild animals (mammals),13.7,NA,13.7,xx,NA
Szür-Cserhát,1,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,36.5,36.5,xxx,NA
Szür-Cserhát,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,47.8,47.8,xxxx,NA
Szür-Cserhát,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,13.9,13.9,xx,NA
Szür-Cserhát,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,1.7,1.7,x,NA
Tarnazsadány-Sándorrésze,1,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,67.7,67.7,xxxxx,NA
Tarnazsadány-Sándorrésze,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,15,15,xx,NA
