Site,Unique,Time_Period,Absolute_Time,Culture,Settlement_Type,Reference,Species,Species_Sum,Percentage,absolute_number,%_of_finds,Frequencies_of_taxa_%,RI_(No_of_sites),Presence_Absence,Semi_Quantitative_old,Semi_Quantitative,Notes
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Prunus spinosa,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Pyrus sp.,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Quercus sp.,Quercus sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Rubus sp.,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Gáva,Unknown,Filatova 2022,Sambucus ebulus,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,1,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Hordeum vulgare (undiff),Hordeum vulgare,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,101,NA,NA,NA,NA,xx,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Hordeum nudum,Hordeum nudum,NA,16,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Secale cereale,Secale cereale,NA,20,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Triticum aestivum ssp. Compactum,Triticum compactum,NA,8,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Triticum aestivum,Triticum aestivum/durum,NA,19,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Triticum aestivum ssp. Spelta,Triticum spelta,NA,162,NA,NA,NA,NA,xx,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Triticum aestivum/durum,Triticum aestivum/durum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Triticum monococcum,Triticum monococcum,NA,11,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Triticum turgidum ssp. Dicoccon,Triticum dicoccum,NA,35813,NA,NA,NA,NA,xxxx,xxxx,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Panicum miliaceum,Panicum miliaceum,NA,775,NA,NA,NA,NA,xx,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Cicer arietinum (Chickpea),Pulses,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Lathyrus sativus,Lathyrus sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Lens culinaris,Lens culinaris,NA,32,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Pisum sativum,Pisum sp.,NA,134,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Vicia ervilia,Vicia sp.,NA,990,NA,NA,NA,NA,xx,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Vicia faba,Vicia sp.,NA,2,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Vicia sativa,Vicia sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Linum usitatissimum,Linum usitatissimum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Canthamus tinctorius,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Chenopodium album (white goosefoot/ fat hen),Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Cornus mas,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Corylus avellana,Corylus avellana,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Crataegus monogyna (single-seed hawthorn),Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Malus silvestris (crab apple),Gathered Plants,NA,12,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Prunus spinosa,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Pyrus sp.,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Quercus sp.,Quercus sp.,NA,2993,NA,NA,NA,NA,xxx,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Rubus sp.,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Papver somniferum,Papaver somniferum,NA,7,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Kyjatice,Unknown,Filatova 2022,Sambucus ebulus,Gathered Plants,NA,264,NA,NA,NA,NA,xx,x,NA
Hungary,1,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Hordeum vulgare (undiff),Hordeum vulgare,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,143,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Hordeum nudum,Hordeum nudum,NA,2,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Secale cereale,Secale cereale,NA,1,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Triticum aestivum ssp. Compactum,Triticum compactum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Triticum aestivum,Triticum aestivum/durum,NA,7,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Triticum aestivum ssp. Spelta,Triticum spelta,NA,1,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Triticum aestivum/durum,Triticum aestivum/durum,NA,4,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Triticum monococcum,Triticum monococcum,NA,2,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Triticum turgidum ssp. Dicoccon,Triticum dicoccum,NA,9,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Panicum miliaceum,Panicum miliaceum,NA,811,NA,NA,NA,NA,xxxx,x,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Cicer arietinum (Chickpea),Pulses,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Lathyrus sativus,Lathyrus sp.,NA,37,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Lens culinaris,Lens culinaris,NA,9,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Pisum sativum,Pisum sp.,NA,678,NA,NA,NA,NA,xxx,x,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Vicia ervilia,Vicia sp.,NA,261,NA,NA,NA,NA,xx,x,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Vicia faba,Vicia sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Vicia sativa,Vicia sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Linum usitatissimum,Linum usitatissimum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Canthamus tinctorius,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Chenopodium album (white goosefoot/ fat hen),Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Cornus mas,Gathered Plants,NA,1,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Corylus avellana,Corylus avellana,NA,2,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Crataegus monogyna (single-seed hawthorn),Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Malus silvestris (crab apple),Gathered Plants,NA,1,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Prunus spinosa,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Pyrus sp.,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Quercus sp.,Quercus sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Rubus sp.,Gathered Plants,NA,15,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Sambucus ebulus,Gathered Plants,NA,1,NA,NA,NA,NA,x,x,NA
Hungary,1,LBA,1400-700,Unknown,Unknown,Filatova 2022,Hordeum vulgare (undiff),Hordeum vulgare,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,212,NA,NA,NA,NA,xxx,x,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Hordeum nudum,Hordeum nudum,NA,2,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Secale cereale,Secale cereale,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Triticum aestivum ssp. Compactum,Triticum compactum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Triticum aestivum,Triticum aestivum/durum,NA,14,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Triticum aestivum ssp. Spelta,Triticum spelta,NA,6,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Triticum aestivum/durum,Triticum aestivum/durum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Triticum monococcum,Triticum monococcum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Triticum turgidum ssp. Dicoccon,Triticum dicoccum,NA,6,NA,NA,NA,NA,x,x,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Panicum miliaceum,Panicum miliaceum,NA,784,NA,NA,NA,NA,xxxx,xxxx,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Cicer arietinum (Chickpea),Pulses,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Lathyrus sativus,Lathyrus sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Lens culinaris,Lens culinaris,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Pisum sativum,Pisum sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Vicia ervilia,Vicia sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Vicia faba,Vicia sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Vicia sativa,Vicia sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Linum usitatissimum,Linum usitatissimum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Canthamus tinctorius,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Chenopodium album (white goosefoot/ fat hen),Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Cornus mas,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
