Site,Unique,Time_Period,Absolute_Time,Culture,Settlement_Type,Reference,Species,Species_Sum,Percentage,absolute_number,%_of_finds,Frequencies_of_taxa_%,RI_(No_of_sites),Presence_Absence,Semi_Quantitative_old,Semi_Quantitative,Notes
Lébény-Billebomb,NA,LBA,1400-700,Unknown,Unknown,"Filatova 2022, Fig. 3",Millet,Panicum miliaceum,NA,NA,NA,4.6,NA,NA,x?,x?,NA
Lébény-Billebomb,NA,LBA,1400-700,Unknown,Unknown,"Filatova 2022, Fig. 3",Panicoideae,Wild plants/weeds,NA,NA,NA,9.7,NA,NA,x?,x?,NA
Lébény-Billebomb,NA,LBA,1400-700,Unknown,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,66.9,NA,NA,xxx?,xxx?,NA
"Ludas, Vajú-dülö",NA,LBA,1400-700,Kyjatice,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,8.2,NA,NA,x?,x?,NA
"Ludas, Vajú-dülö",NA,LBA,1400-700,Kyjatice,Unknown,"Filatova 2022, Fig. 3",Millet,Panicum miliaceum,NA,NA,NA,1.4,NA,NA,x?,x?,NA
"Ludas, Vajú-dülö",NA,LBA,1400-700,Kyjatice,Unknown,"Filatova 2022, Fig. 3",Pulses,Pulses,NA,NA,NA,5.1,NA,NA,x?,x?,NA
"Ludas, Vajú-dülö",NA,LBA,1400-700,Kyjatice,Unknown,"Filatova 2022, Fig. 3",Oil/Fibre Crops,Oil/Fibre Crops,NA,NA,NA,1.2,NA,NA,x?,x?,NA
"Ludas, Vajú-dülö",NA,LBA,1400-700,Kyjatice,Unknown,"Filatova 2022, Fig. 3",Gathered Plants,Gathered Plants,NA,NA,NA,6,NA,NA,x?,x?,NA
"Ludas, Vajú-dülö",NA,LBA,1400-700,Kyjatice,Unknown,"Filatova 2022, Fig. 3",Panicoideae,Wild plants/weeds,NA,NA,NA,6,NA,NA,x?,x?,NA
"Ludas, Vajú-dülö",NA,LBA,1400-700,Kyjatice,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,72.2,NA,NA,xxxx?,xxx?,NA
Mosonmagyaróvár-Németbánya,NA,LBA,1400-700,Unknown,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,100,NA,NA,xxxx?,xxxx?,NA
Mosonmagyaróvár-Német-dülö,NA,LBA,1400-700,Tumulus,Simple Settlement,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,5.2,NA,NA,x?,x?,NA
Mosonmagyaróvár-Német-dülö,NA,LBA,1400-700,Tumulus,Simple Settlement,"Filatova 2022, Fig. 3",Millet,Panicum miliaceum,NA,NA,NA,1.5,NA,NA,x?,x?,NA
Mosonmagyaróvár-Német-dülö,NA,LBA,1400-700,Tumulus,Simple Settlement,"Filatova 2022, Fig. 3",Gathered Plants,Gathered Plants,NA,NA,NA,7.4,NA,NA,x?,x?,NA
Mosonmagyaróvár-Német-dülö,NA,LBA,1400-700,Tumulus,Simple Settlement,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,85.9,NA,NA,xxxx?,xxxx?,NA
Pannonian Basin,NA,LBA,1400-700,Unknown,Unknown,Stika/Heiss 2014,Vicia sativa,Vicia sp.,NA,NA,NA,NA,FALSE,NA,0,0,NA
Pannonian Basin,NA,LBA,1400-700,Unknown,Unknown,Stika/Heiss 2014,Carthamus tinctorius (safflower),Gathered Plants,NA,NA,NA,NA,FALSE,NA,0,0,NA
Pannonian Basin,NA,LBA,1400-700,Unknown,Unknown,Stika/Heiss 2014,Linum usitatissimum,Linum usitatissimum,NA,NA,NA,NA,FALSE,NA,0,0,NA
Polgár 31,NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,33.1,NA,NA,xx?,xx?,NA
Polgár 31,NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 3",Millet,Panicum miliaceum,NA,NA,NA,5.7,NA,NA,x?,x?,NA
Polgár 31,NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 3",Pulses,Pulses,NA,NA,NA,11.1,NA,NA,x?,x?,NA
Polgár 31,NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 3",Gathered Plants,Gathered Plants,NA,NA,NA,11.1,NA,NA,x?,x?,NA
Polgár 31,NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 3",Panicoideae,Wild plants/weeds,NA,NA,NA,11.1,NA,NA,x?,x?,NA
Polgár 31,NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,38.8,NA,NA,xx?,xx?,NA
Poroszló-Aponhát,NA,LBA,1400-700,Kyjatice,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,33.1,NA,NA,xx?,xx?,NA
Poroszló-Aponhát,NA,LBA,1400-700,Kyjatice,Unknown,"Filatova 2022, Fig. 3",Millet,Panicum miliaceum,NA,NA,NA,8.3,NA,NA,x?,x?,NA
Poroszló-Aponhát,NA,LBA,1400-700,Kyjatice,Unknown,"Filatova 2022, Fig. 3",Pulses,Pulses,NA,NA,NA,8.3,NA,NA,x?,x?,NA
Poroszló-Aponhát,NA,LBA,1400-700,Kyjatice,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,50,NA,NA,xx?,xx?,NA
Sopron-Krautacker 1,NA,LBA,1400-700,Urnfield,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,24.6,NA,NA,xx?,x?,NA
Sopron-Krautacker 1,NA,LBA,1400-700,Urnfield,Unknown,"Filatova 2022, Fig. 3",Pulses,Pulses,NA,NA,NA,12.3,NA,NA,x?,x?,NA
Sopron-Krautacker 1,NA,LBA,1400-700,Urnfield,Unknown,"Filatova 2022, Fig. 3",Gathered Plants,Gathered Plants,NA,NA,NA,12.3,NA,NA,x?,x?,NA
Sopron-Krautacker 1,NA,LBA,1400-700,Urnfield,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,50,NA,NA,xx?,xxx?,NA
