Site,Unique,Time_Period,Absolute_Time,Settlement_Type,Culture,Reference,Species,percentage_(Bone_Count),Number_of_Identifiable_Specimens_(NISP)_%,Combined,Semi_Quantitative,...13
Kengyel,1,MBA,1900-1400,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,44.4,44.4,xxxx,NA
Kengyel,NA,MBA,1900-1400,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,27.8,27.8,xx,NA
Kengyel,NA,MBA,1900-1400,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,10.8,10.8,x,NA
Kengyel,NA,MBA,1900-1400,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,8.5,8.5,x,NA
Kengyel,NA,MBA,1900-1400,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,8.5,8.5,x,NA
Koroncó-Tószer-dülö,1,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,60.7,60.7,xxxx,NA
Koroncó-Tószer-dülö,NA,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,17.6,17.6,xx,NA
Koroncó-Tószer-dülö,NA,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,9.6,9.6,x,NA
Koroncó-Tószer-dülö,NA,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,12,12,x,NA
Koroncó-Tószer-dülö,NA,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,0.7,0.7,x,NA
Lovasberény-Milhályvár,1,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,53.9,53.9,xxxx,NA
Lovasberény-Milhályvár,NA,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,21.6,21.6,xx,NA
Lovasberény-Milhályvár,NA,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,8.5,8.5,x,NA
Lovasberény-Milhályvár,NA,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,7.5,7.5,x,NA
Lovasberény-Milhályvár,NA,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,8.5,8.5,x,NA
Ménföcsanak-Szeles-telep,1,MBA,1900-1400,Simple Settlement,Transdanubian Encrusted Ware,"Bartosiewicz 2022, Fig. 2",cattle,NA,59,59,xxxx,NA
Ménföcsanak-Szeles-telep,NA,MBA,1900-1400,Simple Settlement,Transdanubian Encrusted Ware,"Bartosiewicz 2022, Fig. 2",caprine,NA,29,29,xxx,NA
Ménföcsanak-Szeles-telep,NA,MBA,1900-1400,Simple Settlement,Transdanubian Encrusted Ware,"Bartosiewicz 2022, Fig. 2",pig,NA,4.4,4.4,x,NA
Ménföcsanak-Szeles-telep,NA,MBA,1900-1400,Simple Settlement,Transdanubian Encrusted Ware,"Bartosiewicz 2022, Fig. 2",horse,NA,4.5,4.5,x,NA
Ménföcsanak-Szeles-telep,NA,MBA,1900-1400,Simple Settlement,Transdanubian Encrusted Ware,"Bartosiewicz 2022, Fig. 2",large game,NA,3.1,3.1,x,NA
Mezöcsát-Pásti-domb,1,MBA,1900-1400,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,17,17,xx,NA
Mezöcsát-Pásti-domb,NA,MBA,1900-1400,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,16.5,16.5,xx,NA
Mezöcsát-Pásti-domb,NA,MBA,1900-1400,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,16.3,16.3,xx,NA
Mezöcsát-Pásti-domb,NA,MBA,1900-1400,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,17,17,xx,NA
Mezöcsát-Pásti-domb,NA,MBA,1900-1400,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,33,33,xxxx,NA
Ordacsehi-Bugaszeg Somogyvár,1,MBA,1900-1400,Simple Settlement,Somogyvár,"Bartosiewicz 2022, Fig. 2",cattle,NA,67.1,67.1,xxxx,NA
Ordacsehi-Bugaszeg Somogyvár,NA,MBA,1900-1400,Simple Settlement,Somogyvár,"Bartosiewicz 2022, Fig. 2",caprine,NA,25.9,25.9,xx,NA
